duration,price,date,origination,destination,depart,arrive,mode
1h 36m,      $94   ,11-03-2019,Boston,Philadelphia,   5:00 AM   ,   6:36 AM   ,plane
1h 36m,      $94   ,11-03-2019,Boston,Philadelphia,   6:00 AM   ,   7:36 AM   ,plane
1h 39m,      $94   ,11-03-2019,Boston,Philadelphia,   7:38 AM   ,   9:17 AM   ,plane
1h 41m,      $94   ,11-03-2019,Boston,Philadelphia,   8:03 AM   ,   9:44 AM   ,plane
1h 37m,      $104   ,11-03-2019,Boston,Philadelphia,   9:38 PM   ,   11:15 PM   ,plane
1h 38m,      $104   ,11-03-2019,Boston,Philadelphia,   8:21 AM   ,   9:59 AM   ,plane
1h 36m,      $144   ,11-03-2019,Boston,Philadelphia,   12:34 PM   ,   2:10 PM   ,plane
1h 40m,      $144   ,11-03-2019,Boston,Philadelphia,   5:36 PM   ,   7:16 PM   ,plane
1h 41m,      $144   ,11-03-2019,Boston,Philadelphia,   6:39 PM   ,   8:20 PM   ,plane
1h 34m,      $149   ,11-03-2019,Boston,Philadelphia,   10:09 AM   ,   11:43 AM   ,plane
1h 41m,      $149   ,11-03-2019,Boston,Philadelphia,   10:45 AM   ,   12:26 PM   ,plane
1h 48m,      $149   ,11-03-2019,Boston,Philadelphia,   3:54 PM   ,   5:42 PM   ,plane
1h 37m,      $164   ,11-03-2019,Boston,Philadelphia,   11:07 AM   ,   12:44 PM   ,plane
1h 49m,      $184   ,11-03-2019,Boston,Philadelphia,   6:55 PM   ,   8:44 PM   ,plane
1h 37m,      $189   ,11-03-2019,Boston,Philadelphia,   2:10 PM   ,   3:47 PM   ,plane
1h 34m,      $194   ,11-03-2019,Boston,Philadelphia,   11:02 AM   ,   12:36 PM   ,plane
1h 43m,      $194   ,11-03-2019,Boston,Philadelphia,   4:42 PM   ,   6:25 PM   ,plane
1h 45m,      $194   ,11-03-2019,Boston,Philadelphia,   5:50 PM   ,   7:35 PM   ,plane
1h 44m,      $194   ,11-03-2019,Boston,Philadelphia,   7:12 PM   ,   8:56 PM   ,plane
1h 44m,      $194   ,11-03-2019,Boston,Philadelphia,   7:47 PM   ,   9:31 PM   ,plane
1h 31m,      $209   ,10-17-2019,Philadelphia,Boston,   8:40 PM   ,   10:11 PM   ,plane
1h 30m,      $214   ,10-17-2019,Philadelphia,Boston,   6:00 AM   ,   7:30 AM   ,plane
1h 37m,      $214   ,10-17-2019,Philadelphia,Boston,   9:41 PM   ,   11:18 PM   ,plane
1h 32m,      $209   ,10-17-2019,Philadelphia,Boston,   8:46 AM   ,   10:18 AM   ,plane
1h 33m,      $209   ,10-17-2019,Philadelphia,Boston,   10:38 AM   ,   12:11 PM   ,plane
1h 36m,      $209   ,10-17-2019,Philadelphia,Boston,   12:40 PM   ,   2:16 PM   ,plane
1h 38m,      $209   ,10-17-2019,Philadelphia,Boston,   6:51 PM   ,   8:29 PM   ,plane
1h 37m,      $214   ,10-17-2019,Philadelphia,Boston,   5:00 AM   ,   6:37 AM   ,plane
1h 42m,      $214   ,10-17-2019,Philadelphia,Boston,   6:20 AM   ,   8:02 AM   ,plane
1h 41m,      $214   ,10-17-2019,Philadelphia,Boston,   7:38 AM   ,   9:19 AM   ,plane
1h 42m,      $214   ,10-17-2019,Philadelphia,Boston,   8:08 AM   ,   9:50 AM   ,plane
1h 47m,      $214   ,10-17-2019,Philadelphia,Boston,   9:27 AM   ,   11:14 AM   ,plane
1h 35m,      $214   ,10-17-2019,Philadelphia,Boston,   10:09 AM   ,   11:44 AM   ,plane
1h 41m,      $214   ,10-17-2019,Philadelphia,Boston,   10:45 AM   ,   12:26 PM   ,plane
1h 33m,      $214   ,10-17-2019,Philadelphia,Boston,   11:06 AM   ,   12:39 PM   ,plane
1h 46m,      $214   ,10-17-2019,Philadelphia,Boston,   1:00 PM   ,   2:46 PM   ,plane
1h 49m,      $214   ,10-17-2019,Philadelphia,Boston,   6:55 PM   ,   8:44 PM   ,plane
1h 47m,      $214   ,10-17-2019,Philadelphia,Boston,   7:47 PM   ,   9:34 PM   ,plane
1h 42m,      $254   ,10-17-2019,Philadelphia,Boston,   2:30 PM   ,   4:12 PM   ,plane
1h 43m,      $254   ,10-17-2019,Philadelphia,Boston,   4:30 PM   ,   6:13 PM   ,plane
1h 48m,      $314   ,10-17-2019,Philadelphia,Boston,   3:54 PM   ,   5:42 PM   ,plane
1h 47m,      $324   ,10-17-2019,Philadelphia,Boston,   7:07 PM   ,   8:54 PM   ,plane
1h 51m,      $430   ,10-17-2019,Philadelphia,Boston,   5:50 PM   ,   7:41 PM   ,plane
1h 46m,      $909   ,10-17-2019,Philadelphia,Boston,   4:54 PM   ,   6:40 PM   ,plane
1h 32m,      $144   ,10-24-2019,Philadelphia,Boston,   8:46 AM   ,   10:18 AM   ,plane
1h 30m,      $149   ,10-24-2019,Philadelphia,Boston,   6:00 AM   ,   7:30 AM   ,plane
1h 37m,      $149   ,10-24-2019,Philadelphia,Boston,   9:41 PM   ,   11:18 PM   ,plane
1h 33m,      $144   ,10-24-2019,Philadelphia,Boston,   10:38 AM   ,   12:11 PM   ,plane
1h 36m,      $144   ,10-24-2019,Philadelphia,Boston,   12:40 PM   ,   2:16 PM   ,plane
1h 37m,      $149   ,10-24-2019,Philadelphia,Boston,   5:00 AM   ,   6:37 AM   ,plane
1h 42m,      $149   ,10-24-2019,Philadelphia,Boston,   6:20 AM   ,   8:02 AM   ,plane
1h 41m,      $149   ,10-24-2019,Philadelphia,Boston,   7:38 AM   ,   9:19 AM   ,plane
1h 42m,      $149   ,10-24-2019,Philadelphia,Boston,   8:08 AM   ,   9:50 AM   ,plane
1h 47m,      $149   ,10-24-2019,Philadelphia,Boston,   9:27 AM   ,   11:14 AM   ,plane
1h 35m,      $149   ,10-24-2019,Philadelphia,Boston,   10:09 AM   ,   11:44 AM   ,plane
1h 41m,      $149   ,10-24-2019,Philadelphia,Boston,   10:45 AM   ,   12:26 PM   ,plane
1h 33m,      $149   ,10-24-2019,Philadelphia,Boston,   11:06 AM   ,   12:39 PM   ,plane
1h 46m,      $149   ,10-24-2019,Philadelphia,Boston,   1:00 PM   ,   2:46 PM   ,plane
1h 31m,      $189   ,10-24-2019,Philadelphia,Boston,   8:40 PM   ,   10:11 PM   ,plane
1h 42m,      $244   ,10-24-2019,Philadelphia,Boston,   2:30 PM   ,   4:12 PM   ,plane
1h 49m,      $269   ,10-24-2019,Philadelphia,Boston,   6:55 PM   ,   8:44 PM   ,plane
1h 43m,      $274   ,10-24-2019,Philadelphia,Boston,   4:30 PM   ,   6:13 PM   ,plane
1h 38m,      $292   ,10-24-2019,Philadelphia,Boston,   6:51 PM   ,   8:29 PM   ,plane
1h 48m,      $314   ,10-24-2019,Philadelphia,Boston,   3:54 PM   ,   5:42 PM   ,plane
1h 47m,      $324   ,10-24-2019,Philadelphia,Boston,   7:07 PM   ,   8:54 PM   ,plane
1h 47m,      $324   ,10-24-2019,Philadelphia,Boston,   7:47 PM   ,   9:34 PM   ,plane
1h 51m,      $430   ,10-24-2019,Philadelphia,Boston,   5:50 PM   ,   7:41 PM   ,plane
1h 46m,      $909   ,10-24-2019,Philadelphia,Boston,   4:54 PM   ,   6:40 PM   ,plane
1h 21m,      $209   ,10-20-2019,Boston,Philadelphia,   7:00 AM   ,   8:21 AM   ,plane
1h 18m,      $214   ,10-20-2019,Boston,Philadelphia,   7:44 AM   ,   9:02 AM   ,plane
1h 43m,      $214   ,10-20-2019,Boston,Philadelphia,   6:17 PM   ,   8:00 PM   ,plane
1h 34m,      $209   ,10-20-2019,Boston,Philadelphia,   6:55 PM   ,   8:29 PM   ,plane
1h 21m,      $209   ,10-20-2019,Boston,Philadelphia,   9:10 PM   ,   10:31 PM   ,plane
1h 21m,      $214   ,10-20-2019,Boston,Philadelphia,   6:00 AM   ,   7:21 AM   ,plane
1h 30m,      $214   ,10-20-2019,Boston,Philadelphia,   9:05 PM   ,   10:35 PM   ,plane
1h 32m,      $229   ,10-20-2019,Boston,Philadelphia,   3:26 PM   ,   4:58 PM   ,plane
1h 40m,      $229   ,10-20-2019,Boston,Philadelphia,   6:20 PM   ,   8:00 PM   ,plane
1h 24m,      $244   ,10-20-2019,Boston,Philadelphia,   12:51 PM   ,   2:15 PM   ,plane
1h 36m,      $269   ,10-20-2019,Boston,Philadelphia,   11:51 AM   ,   1:27 PM   ,plane
1h 37m,      $269   ,10-20-2019,Boston,Philadelphia,   9:15 PM   ,   10:52 PM   ,plane
1h 24m,      $274   ,10-20-2019,Boston,Philadelphia,   2:56 PM   ,   4:20 PM   ,plane
1h 27m,      $274   ,10-20-2019,Boston,Philadelphia,   4:55 PM   ,   6:22 PM   ,plane
1h 21m,      $292   ,10-20-2019,Boston,Philadelphia,   10:53 AM   ,   12:14 PM   ,plane
1h 37m,      $314   ,10-20-2019,Boston,Philadelphia,   1:02 PM   ,   2:39 PM   ,plane
1h 35m,      $314   ,10-20-2019,Boston,Philadelphia,   3:21 PM   ,   4:56 PM   ,plane
1h 22m,      $324   ,10-20-2019,Boston,Philadelphia,   2:29 PM   ,   3:51 PM   ,plane
1h 27m,      $324   ,10-20-2019,Boston,Philadelphia,   5:30 PM   ,   6:57 PM   ,plane
1h 36m,      $909   ,10-20-2019,Boston,Philadelphia,   8:45 AM   ,   10:21 AM   ,plane
1h 26m,      $909   ,10-20-2019,Boston,Philadelphia,   9:34 AM   ,   11:00 AM   ,plane
1h 35m,      $94   ,10-31-2019,Philadelphia,Boston,   6:05 AM   ,   7:40 AM   ,plane
1h 18m,      $94   ,10-31-2019,Philadelphia,Boston,   7:44 AM   ,   9:02 AM   ,plane
1h 15m,      $94   ,10-31-2019,Philadelphia,Boston,   9:00 PM   ,   10:15 PM   ,plane
1h 21m,      $94   ,10-31-2019,Philadelphia,Boston,   6:00 AM   ,   7:21 AM   ,plane
1h 19m,      $94   ,10-31-2019,Philadelphia,Boston,   7:00 AM   ,   8:19 AM   ,plane
1h 36m,      $94   ,10-31-2019,Philadelphia,Boston,   8:45 AM   ,   10:21 AM   ,plane
1h 22m,      $94   ,10-31-2019,Philadelphia,Boston,   9:34 AM   ,   10:56 AM   ,plane
1h 26m,      $94   ,10-31-2019,Philadelphia,Boston,   9:34 AM   ,   11:00 AM   ,plane
1h 19m,      $94   ,10-31-2019,Philadelphia,Boston,   10:34 AM   ,   11:53 AM   ,plane
1h 34m,      $94   ,10-31-2019,Philadelphia,Boston,   10:35 AM   ,   12:09 PM   ,plane
1h 36m,      $94   ,10-31-2019,Philadelphia,Boston,   11:51 AM   ,   1:27 PM   ,plane
1h 22m,      $94   ,10-31-2019,Philadelphia,Boston,   1:24 PM   ,   2:46 PM   ,plane
1h 22m,      $94   ,10-31-2019,Philadelphia,Boston,   2:29 PM   ,   3:51 PM   ,plane
1h 18m,      $104   ,10-31-2019,Philadelphia,Boston,   2:49 PM   ,   4:07 PM   ,plane
1h 38m,      $114   ,10-31-2019,Philadelphia,Boston,   5:00 PM   ,   6:38 PM   ,plane
1h 23m,      $144   ,10-31-2019,Philadelphia,Boston,   4:27 PM   ,   5:50 PM   ,plane
1h 16m,      $144   ,10-31-2019,Philadelphia,Boston,   7:56 PM   ,   9:12 PM   ,plane
1h 40m,      $194   ,10-31-2019,Philadelphia,Boston,   6:20 PM   ,   8:00 PM   ,plane
1h 36m,      $94   ,11-03-2019,Boston,Philadelphia,   5:00 AM   ,   6:36 AM   ,plane
1h 36m,      $94   ,11-03-2019,Boston,Philadelphia,   6:00 AM   ,   7:36 AM   ,plane
1h 39m,      $94   ,11-03-2019,Boston,Philadelphia,   7:38 AM   ,   9:17 AM   ,plane
1h 41m,      $94   ,11-03-2019,Boston,Philadelphia,   8:03 AM   ,   9:44 AM   ,plane
1h 37m,      $104   ,11-03-2019,Boston,Philadelphia,   9:38 PM   ,   11:15 PM   ,plane
1h 38m,      $104   ,11-03-2019,Boston,Philadelphia,   8:21 AM   ,   9:59 AM   ,plane
1h 36m,      $144   ,11-03-2019,Boston,Philadelphia,   12:34 PM   ,   2:10 PM   ,plane
1h 40m,      $144   ,11-03-2019,Boston,Philadelphia,   5:36 PM   ,   7:16 PM   ,plane
1h 41m,      $144   ,11-03-2019,Boston,Philadelphia,   6:39 PM   ,   8:20 PM   ,plane
1h 34m,      $149   ,11-03-2019,Boston,Philadelphia,   10:09 AM   ,   11:43 AM   ,plane
1h 41m,      $149   ,11-03-2019,Boston,Philadelphia,   10:45 AM   ,   12:26 PM   ,plane
1h 48m,      $149   ,11-03-2019,Boston,Philadelphia,   3:54 PM   ,   5:42 PM   ,plane
1h 37m,      $164   ,11-03-2019,Boston,Philadelphia,   11:07 AM   ,   12:44 PM   ,plane
1h 49m,      $184   ,11-03-2019,Boston,Philadelphia,   6:55 PM   ,   8:44 PM   ,plane
1h 37m,      $189   ,11-03-2019,Boston,Philadelphia,   2:10 PM   ,   3:47 PM   ,plane
1h 34m,      $194   ,11-03-2019,Boston,Philadelphia,   11:02 AM   ,   12:36 PM   ,plane
1h 43m,      $194   ,11-03-2019,Boston,Philadelphia,   4:42 PM   ,   6:25 PM   ,plane
1h 45m,      $194   ,11-03-2019,Boston,Philadelphia,   5:50 PM   ,   7:35 PM   ,plane
1h 44m,      $194   ,11-03-2019,Boston,Philadelphia,   7:12 PM   ,   8:56 PM   ,plane
1h 44m,      $194   ,11-03-2019,Boston,Philadelphia,   7:47 PM   ,   9:31 PM   ,plane
1h 31m,      $209   ,10-17-2019,Philadelphia,Boston,   8:40 PM   ,   10:11 PM   ,plane
1h 30m,      $214   ,10-17-2019,Philadelphia,Boston,   6:00 AM   ,   7:30 AM   ,plane
1h 37m,      $214   ,10-17-2019,Philadelphia,Boston,   9:41 PM   ,   11:18 PM   ,plane
1h 32m,      $209   ,10-17-2019,Philadelphia,Boston,   8:46 AM   ,   10:18 AM   ,plane
1h 33m,      $209   ,10-17-2019,Philadelphia,Boston,   10:38 AM   ,   12:11 PM   ,plane
1h 36m,      $209   ,10-17-2019,Philadelphia,Boston,   12:40 PM   ,   2:16 PM   ,plane
1h 38m,      $209   ,10-17-2019,Philadelphia,Boston,   6:51 PM   ,   8:29 PM   ,plane
1h 37m,      $214   ,10-17-2019,Philadelphia,Boston,   5:00 AM   ,   6:37 AM   ,plane
1h 42m,      $214   ,10-17-2019,Philadelphia,Boston,   6:20 AM   ,   8:02 AM   ,plane
1h 41m,      $214   ,10-17-2019,Philadelphia,Boston,   7:38 AM   ,   9:19 AM   ,plane
1h 42m,      $214   ,10-17-2019,Philadelphia,Boston,   8:08 AM   ,   9:50 AM   ,plane
1h 47m,      $214   ,10-17-2019,Philadelphia,Boston,   9:27 AM   ,   11:14 AM   ,plane
1h 35m,      $214   ,10-17-2019,Philadelphia,Boston,   10:09 AM   ,   11:44 AM   ,plane
1h 41m,      $214   ,10-17-2019,Philadelphia,Boston,   10:45 AM   ,   12:26 PM   ,plane
1h 33m,      $214   ,10-17-2019,Philadelphia,Boston,   11:06 AM   ,   12:39 PM   ,plane
1h 46m,      $214   ,10-17-2019,Philadelphia,Boston,   1:00 PM   ,   2:46 PM   ,plane
1h 49m,      $214   ,10-17-2019,Philadelphia,Boston,   6:55 PM   ,   8:44 PM   ,plane
1h 47m,      $214   ,10-17-2019,Philadelphia,Boston,   7:47 PM   ,   9:34 PM   ,plane
1h 42m,      $254   ,10-17-2019,Philadelphia,Boston,   2:30 PM   ,   4:12 PM   ,plane
1h 43m,      $254   ,10-17-2019,Philadelphia,Boston,   4:30 PM   ,   6:13 PM   ,plane
1h 48m,      $314   ,10-17-2019,Philadelphia,Boston,   3:54 PM   ,   5:42 PM   ,plane
1h 47m,      $324   ,10-17-2019,Philadelphia,Boston,   7:07 PM   ,   8:54 PM   ,plane
1h 51m,      $430   ,10-17-2019,Philadelphia,Boston,   5:50 PM   ,   7:41 PM   ,plane
1h 46m,      $909   ,10-17-2019,Philadelphia,Boston,   4:54 PM   ,   6:40 PM   ,plane
1h 32m,      $144   ,10-24-2019,Philadelphia,Boston,   8:46 AM   ,   10:18 AM   ,plane
1h 30m,      $149   ,10-24-2019,Philadelphia,Boston,   6:00 AM   ,   7:30 AM   ,plane
1h 37m,      $149   ,10-24-2019,Philadelphia,Boston,   9:41 PM   ,   11:18 PM   ,plane
1h 33m,      $144   ,10-24-2019,Philadelphia,Boston,   10:38 AM   ,   12:11 PM   ,plane
1h 36m,      $144   ,10-24-2019,Philadelphia,Boston,   12:40 PM   ,   2:16 PM   ,plane
1h 37m,      $149   ,10-24-2019,Philadelphia,Boston,   5:00 AM   ,   6:37 AM   ,plane
1h 42m,      $149   ,10-24-2019,Philadelphia,Boston,   6:20 AM   ,   8:02 AM   ,plane
1h 41m,      $149   ,10-24-2019,Philadelphia,Boston,   7:38 AM   ,   9:19 AM   ,plane
1h 42m,      $149   ,10-24-2019,Philadelphia,Boston,   8:08 AM   ,   9:50 AM   ,plane
1h 47m,      $149   ,10-24-2019,Philadelphia,Boston,   9:27 AM   ,   11:14 AM   ,plane
1h 35m,      $149   ,10-24-2019,Philadelphia,Boston,   10:09 AM   ,   11:44 AM   ,plane
1h 41m,      $149   ,10-24-2019,Philadelphia,Boston,   10:45 AM   ,   12:26 PM   ,plane
1h 33m,      $149   ,10-24-2019,Philadelphia,Boston,   11:06 AM   ,   12:39 PM   ,plane
1h 46m,      $149   ,10-24-2019,Philadelphia,Boston,   1:00 PM   ,   2:46 PM   ,plane
1h 31m,      $189   ,10-24-2019,Philadelphia,Boston,   8:40 PM   ,   10:11 PM   ,plane
1h 42m,      $244   ,10-24-2019,Philadelphia,Boston,   2:30 PM   ,   4:12 PM   ,plane
1h 49m,      $269   ,10-24-2019,Philadelphia,Boston,   6:55 PM   ,   8:44 PM   ,plane
1h 43m,      $274   ,10-24-2019,Philadelphia,Boston,   4:30 PM   ,   6:13 PM   ,plane
1h 38m,      $292   ,10-24-2019,Philadelphia,Boston,   6:51 PM   ,   8:29 PM   ,plane
1h 48m,      $314   ,10-24-2019,Philadelphia,Boston,   3:54 PM   ,   5:42 PM   ,plane
1h 47m,      $324   ,10-24-2019,Philadelphia,Boston,   7:07 PM   ,   8:54 PM   ,plane
1h 47m,      $324   ,10-24-2019,Philadelphia,Boston,   7:47 PM   ,   9:34 PM   ,plane
1h 51m,      $430   ,10-24-2019,Philadelphia,Boston,   5:50 PM   ,   7:41 PM   ,plane
1h 46m,      $909   ,10-24-2019,Philadelphia,Boston,   4:54 PM   ,   6:40 PM   ,plane
1h 21m,      $209   ,10-20-2019,Boston,Philadelphia,   7:00 AM   ,   8:21 AM   ,plane
1h 18m,      $214   ,10-20-2019,Boston,Philadelphia,   7:44 AM   ,   9:02 AM   ,plane
1h 43m,      $214   ,10-20-2019,Boston,Philadelphia,   6:17 PM   ,   8:00 PM   ,plane
1h 34m,      $209   ,10-20-2019,Boston,Philadelphia,   6:55 PM   ,   8:29 PM   ,plane
1h 21m,      $209   ,10-20-2019,Boston,Philadelphia,   9:10 PM   ,   10:31 PM   ,plane
1h 21m,      $214   ,10-20-2019,Boston,Philadelphia,   6:00 AM   ,   7:21 AM   ,plane
1h 30m,      $214   ,10-20-2019,Boston,Philadelphia,   9:05 PM   ,   10:35 PM   ,plane
1h 32m,      $229   ,10-20-2019,Boston,Philadelphia,   3:26 PM   ,   4:58 PM   ,plane
1h 40m,      $229   ,10-20-2019,Boston,Philadelphia,   6:20 PM   ,   8:00 PM   ,plane
1h 24m,      $244   ,10-20-2019,Boston,Philadelphia,   12:51 PM   ,   2:15 PM   ,plane
1h 36m,      $269   ,10-20-2019,Boston,Philadelphia,   11:51 AM   ,   1:27 PM   ,plane
1h 37m,      $269   ,10-20-2019,Boston,Philadelphia,   9:15 PM   ,   10:52 PM   ,plane
1h 24m,      $274   ,10-20-2019,Boston,Philadelphia,   2:56 PM   ,   4:20 PM   ,plane
1h 27m,      $274   ,10-20-2019,Boston,Philadelphia,   4:55 PM   ,   6:22 PM   ,plane
1h 21m,      $292   ,10-20-2019,Boston,Philadelphia,   10:53 AM   ,   12:14 PM   ,plane
