,Unnamed: 0,Unnamed: 0.1,date,destination,duration,origination,price,time
0,0,,11-03-2019,Philadelphia,1h 5m,NYC,      $170   ,   5:45 AM   –   6:50 AM   
1,0,,11-03-2019,Philadelphia,1h 14m,NYC,      $170   ,   1:00 PM   –   2:14 PM   
2,0,,11-03-2019,Philadelphia,1h 16m,NYC,      $170   ,   3:15 PM   –   4:31 PM   
3,0,,11-03-2019,Philadelphia,18h 27m,NYC,   $157   ,   6:30 PM   –   12:57 PM+1   
4,0,,11-03-2019,Philadelphia,4h 58m,NYC,      $200   ,   5:01 AM   –   9:59 AM   
5,0,,11-03-2019,Philadelphia,3h 13m,NYC,      $208   ,   5:00 PM   –   8:13 PM   
6,0,,11-03-2019,Philadelphia,7h 36m,NYC,      $211   ,   11:00 PM   –   6:36 AM+1   
7,0,,11-03-2019,Philadelphia,4h 57m,NYC,      $240   ,   9:13 AM   –   2:10 PM   
8,0,,11-03-2019,Philadelphia,4h 40m,NYC,      $257   ,   9:30 AM   –   2:10 PM   
9,0,,11-03-2019,Philadelphia,3h 40m,NYC,      $291   ,   3:36 PM   –   7:16 PM   
0,0,,10-17-2019,NYC,1h 7m,Philadelphia,      $305   ,   10:50 AM   –   11:57 AM   
1,0,,10-17-2019,NYC,1h 6m,Philadelphia,      $305   ,   3:10 PM   –   4:16 PM   
2,0,,10-17-2019,NYC,1h 4m,Philadelphia,      $305   ,   5:10 PM   –   6:14 PM   
3,0,,10-17-2019,NYC,1h 6m,Philadelphia,      $305   ,   8:58 PM   –   10:04 PM   
4,0,,10-17-2019,NYC,3h 12m,Philadelphia,      $313   ,   6:43 AM   –   9:55 AM   
5,0,,10-17-2019,NYC,3h 39m,Philadelphia,      $313   ,   7:44 AM   –   11:23 AM   
6,0,,10-17-2019,NYC,3h 32m,Philadelphia,      $313   ,   5:46 PM   –   9:18 PM   
7,0,,10-17-2019,NYC,16h 24m,Philadelphia,   $352   ,   4:27 PM   –   8:51 AM+1   
8,0,,10-17-2019,NYC,6h 14m,Philadelphia,      $410   ,   6:00 AM   –   12:14 PM   
9,0,,10-17-2019,NYC,4h 24m,Philadelphia,      $499   ,   6:00 AM   –   10:24 AM   
0,0,,10-24-2019,NYC,7h 8m,Philadelphia,   $143   ,   8:48 AM   –   3:56 PM   
1,0,,10-24-2019,NYC,1h 7m,Philadelphia,      $260   ,   10:50 AM   –   11:57 AM   
2,0,,10-24-2019,NYC,1h 6m,Philadelphia,      $260   ,   3:10 PM   –   4:16 PM   
3,0,,10-24-2019,NYC,1h 4m,Philadelphia,      $260   ,   5:10 PM   –   6:14 PM   
4,0,,10-24-2019,NYC,1h 6m,Philadelphia,      $260   ,   8:58 PM   –   10:04 PM   
5,0,,10-24-2019,NYC,7h 48m,Philadelphia,   $185   ,   6:30 AM   –   2:18 PM   
6,0,,10-24-2019,NYC,7h 47m,Philadelphia,   $197   ,   6:30 AM   –   2:17 PM   
7,0,,10-24-2019,NYC,8h 47m,Philadelphia,      $211   ,   6:43 AM   –   3:30 PM   
8,0,,10-24-2019,NYC,10h 53m,Philadelphia,      $230   ,   6:00 AM   –   4:53 PM   
9,0,,10-24-2019,NYC,3h 12m,Philadelphia,      $268   ,   6:43 AM   –   9:55 AM   
10,0,,10-24-2019,NYC,3h 39m,Philadelphia,      $268   ,   7:44 AM   –   11:23 AM   
11,0,,10-24-2019,NYC,3h 50m,Philadelphia,      $321   ,   7:00 AM   –   10:50 AM   
12,0,,10-24-2019,NYC,4h 20m,Philadelphia,      $418   ,   6:05 AM   –   10:25 AM   
0,0,,10-20-2019,Philadelphia,1h 4m,NYC,      $305   ,   6:00 AM   –   7:04 AM   
1,0,,10-20-2019,Philadelphia,1h 12m,NYC,      $305   ,   1:00 PM   –   2:12 PM   
2,0,,10-20-2019,Philadelphia,1h 18m,NYC,      $305   ,   3:15 PM   –   4:33 PM   
3,0,,10-20-2019,Philadelphia,18h 27m,NYC,   $307   ,   6:30 PM   –   12:57 PM+1   
4,0,,10-20-2019,Philadelphia,3h 14m,NYC,      $378   ,   5:00 PM   –   8:14 PM   
5,0,,10-20-2019,Philadelphia,15h 40m,NYC,      $405   ,   9:31 PM   –   1:11 PM+1   
6,0,,10-20-2019,Philadelphia,4h 18m,NYC,      $462   ,   6:00 AM   –   10:18 AM   
7,0,,10-20-2019,Philadelphia,4h 36m,NYC,      $462   ,   7:35 AM   –   12:11 PM   
8,0,,10-20-2019,Philadelphia,5h 1m,NYC,      $462   ,   5:10 PM   –   10:11 PM   
9,0,,10-20-2019,Philadelphia,4h 48m,NYC,      $471   ,   6:30 PM   –   11:18 PM   
0,0,,10-31-2019,NYC,1h 7m,Philadelphia,      $170   ,   10:50 AM   –   11:57 AM   
1,0,,10-31-2019,NYC,1h 6m,Philadelphia,      $170   ,   3:10 PM   –   4:16 PM   
2,0,,10-31-2019,NYC,1h 4m,Philadelphia,      $170   ,   5:10 PM   –   6:14 PM   
3,0,,10-31-2019,NYC,1h 6m,Philadelphia,      $170   ,   8:58 PM   –   10:04 PM   
4,0,,10-31-2019,NYC,9h 14m,Philadelphia,   $137   ,   8:00 AM   –   5:14 PM   
5,0,,10-31-2019,NYC,6h 40m,Philadelphia,   $137   ,   4:27 PM   –   11:07 PM   
6,0,,10-31-2019,NYC,9h 52m,Philadelphia,      $143   ,   6:43 AM   –   4:35 PM   
7,0,,10-31-2019,NYC,4h 22m,Philadelphia,      $145   ,   5:00 AM   –   9:22 AM   
8,0,,10-31-2019,NYC,4h 45m,Philadelphia,      $145   ,   6:35 AM   –   11:20 AM   
9,0,,10-31-2019,NYC,7h 8m,Philadelphia,   $151   ,   8:48 AM   –   3:56 PM   
10,0,,10-31-2019,NYC,3h 12m,Philadelphia,      $178   ,   6:43 AM   –   9:55 AM   
11,0,,10-31-2019,NYC,3h 39m,Philadelphia,      $178   ,   7:44 AM   –   11:23 AM   
12,0,,10-31-2019,NYC,9h 50m,Philadelphia,      $183   ,   6:00 AM   –   3:50 PM   
13,0,,10-31-2019,NYC,3h 24m,Philadelphia,      $190   ,   10:34 AM   –   1:58 PM   
0,0,0.0,11-03-2019,Philadelphia,1h 5m,NYC,      $170   ,   5:45 AM   –   6:50 AM   
1,1,0.0,11-03-2019,Philadelphia,1h 14m,NYC,      $170   ,   1:00 PM   –   2:14 PM   
2,2,0.0,11-03-2019,Philadelphia,1h 16m,NYC,      $170   ,   3:15 PM   –   4:31 PM   
3,3,0.0,11-03-2019,Philadelphia,18h 27m,NYC,   $157   ,   6:30 PM   –   12:57 PM+1   
4,4,0.0,11-03-2019,Philadelphia,4h 58m,NYC,      $200   ,   5:01 AM   –   9:59 AM   
5,5,0.0,11-03-2019,Philadelphia,3h 13m,NYC,      $208   ,   5:00 PM   –   8:13 PM   
6,6,0.0,11-03-2019,Philadelphia,7h 36m,NYC,      $211   ,   11:00 PM   –   6:36 AM+1   
7,7,0.0,11-03-2019,Philadelphia,4h 57m,NYC,      $240   ,   9:13 AM   –   2:10 PM   
8,8,0.0,11-03-2019,Philadelphia,4h 40m,NYC,      $257   ,   9:30 AM   –   2:10 PM   
9,9,0.0,11-03-2019,Philadelphia,3h 40m,NYC,      $291   ,   3:36 PM   –   7:16 PM   
10,0,0.0,10-17-2019,NYC,1h 7m,Philadelphia,      $305   ,   10:50 AM   –   11:57 AM   
11,1,0.0,10-17-2019,NYC,1h 6m,Philadelphia,      $305   ,   3:10 PM   –   4:16 PM   
12,2,0.0,10-17-2019,NYC,1h 4m,Philadelphia,      $305   ,   5:10 PM   –   6:14 PM   
13,3,0.0,10-17-2019,NYC,1h 6m,Philadelphia,      $305   ,   8:58 PM   –   10:04 PM   
14,4,0.0,10-17-2019,NYC,3h 12m,Philadelphia,      $313   ,   6:43 AM   –   9:55 AM   
15,5,0.0,10-17-2019,NYC,3h 39m,Philadelphia,      $313   ,   7:44 AM   –   11:23 AM   
16,6,0.0,10-17-2019,NYC,3h 32m,Philadelphia,      $313   ,   5:46 PM   –   9:18 PM   
17,7,0.0,10-17-2019,NYC,16h 24m,Philadelphia,   $352   ,   4:27 PM   –   8:51 AM+1   
18,8,0.0,10-17-2019,NYC,6h 14m,Philadelphia,      $410   ,   6:00 AM   –   12:14 PM   
19,9,0.0,10-17-2019,NYC,4h 24m,Philadelphia,      $499   ,   6:00 AM   –   10:24 AM   
20,0,0.0,10-24-2019,NYC,7h 8m,Philadelphia,   $143   ,   8:48 AM   –   3:56 PM   
21,1,0.0,10-24-2019,NYC,1h 7m,Philadelphia,      $260   ,   10:50 AM   –   11:57 AM   
22,2,0.0,10-24-2019,NYC,1h 6m,Philadelphia,      $260   ,   3:10 PM   –   4:16 PM   
23,3,0.0,10-24-2019,NYC,1h 4m,Philadelphia,      $260   ,   5:10 PM   –   6:14 PM   
24,4,0.0,10-24-2019,NYC,1h 6m,Philadelphia,      $260   ,   8:58 PM   –   10:04 PM   
25,5,0.0,10-24-2019,NYC,7h 48m,Philadelphia,   $185   ,   6:30 AM   –   2:18 PM   
26,6,0.0,10-24-2019,NYC,7h 47m,Philadelphia,   $197   ,   6:30 AM   –   2:17 PM   
27,7,0.0,10-24-2019,NYC,8h 47m,Philadelphia,      $211   ,   6:43 AM   –   3:30 PM   
28,8,0.0,10-24-2019,NYC,10h 53m,Philadelphia,      $230   ,   6:00 AM   –   4:53 PM   
29,9,0.0,10-24-2019,NYC,3h 12m,Philadelphia,      $268   ,   6:43 AM   –   9:55 AM   
30,10,0.0,10-24-2019,NYC,3h 39m,Philadelphia,      $268   ,   7:44 AM   –   11:23 AM   
31,11,0.0,10-24-2019,NYC,3h 50m,Philadelphia,      $321   ,   7:00 AM   –   10:50 AM   
32,12,0.0,10-24-2019,NYC,4h 20m,Philadelphia,      $418   ,   6:05 AM   –   10:25 AM   
33,0,0.0,10-20-2019,Philadelphia,1h 4m,NYC,      $305   ,   6:00 AM   –   7:04 AM   
34,1,0.0,10-20-2019,Philadelphia,1h 12m,NYC,      $305   ,   1:00 PM   –   2:12 PM   
35,2,0.0,10-20-2019,Philadelphia,1h 18m,NYC,      $305   ,   3:15 PM   –   4:33 PM   
36,3,0.0,10-20-2019,Philadelphia,18h 27m,NYC,   $307   ,   6:30 PM   –   12:57 PM+1   
37,4,0.0,10-20-2019,Philadelphia,3h 14m,NYC,      $378   ,   5:00 PM   –   8:14 PM   
38,5,0.0,10-20-2019,Philadelphia,15h 40m,NYC,      $405   ,   9:31 PM   –   1:11 PM+1   
39,6,0.0,10-20-2019,Philadelphia,4h 18m,NYC,      $462   ,   6:00 AM   –   10:18 AM   
40,7,0.0,10-20-2019,Philadelphia,4h 36m,NYC,      $462   ,   7:35 AM   –   12:11 PM   
41,8,0.0,10-20-2019,Philadelphia,5h 1m,NYC,      $462   ,   5:10 PM   –   10:11 PM   
42,9,0.0,10-20-2019,Philadelphia,4h 48m,NYC,      $471   ,   6:30 PM   –   11:18 PM   
43,0,0.0,10-31-2019,NYC,1h 7m,Philadelphia,      $170   ,   10:50 AM   –   11:57 AM   
44,1,0.0,10-31-2019,NYC,1h 6m,Philadelphia,      $170   ,   3:10 PM   –   4:16 PM   
45,2,0.0,10-31-2019,NYC,1h 4m,Philadelphia,      $170   ,   5:10 PM   –   6:14 PM   
46,3,0.0,10-31-2019,NYC,1h 6m,Philadelphia,      $170   ,   8:58 PM   –   10:04 PM   
47,4,0.0,10-31-2019,NYC,9h 14m,Philadelphia,   $137   ,   8:00 AM   –   5:14 PM   
48,5,0.0,10-31-2019,NYC,6h 40m,Philadelphia,   $137   ,   4:27 PM   –   11:07 PM   
49,6,0.0,10-31-2019,NYC,9h 52m,Philadelphia,      $143   ,   6:43 AM   –   4:35 PM   
50,7,0.0,10-31-2019,NYC,4h 22m,Philadelphia,      $145   ,   5:00 AM   –   9:22 AM   
51,8,0.0,10-31-2019,NYC,4h 45m,Philadelphia,      $145   ,   6:35 AM   –   11:20 AM   
52,9,0.0,10-31-2019,NYC,7h 8m,Philadelphia,   $151   ,   8:48 AM   –   3:56 PM   
53,10,0.0,10-31-2019,NYC,3h 12m,Philadelphia,      $178   ,   6:43 AM   –   9:55 AM   
54,11,0.0,10-31-2019,NYC,3h 39m,Philadelphia,      $178   ,   7:44 AM   –   11:23 AM   
55,12,0.0,10-31-2019,NYC,9h 50m,Philadelphia,      $183   ,   6:00 AM   –   3:50 PM   
56,13,0.0,10-31-2019,NYC,3h 24m,Philadelphia,      $190   ,   10:34 AM   –   1:58 PM   
57,0,0.0,10-27-2019,Philadelphia,18h 27m,NYC,   $159   ,   6:30 PM   –   12:57 PM+1   
58,1,0.0,10-27-2019,Philadelphia,1h 4m,NYC,      $230   ,   6:00 AM   –   7:04 AM   
59,2,0.0,10-27-2019,Philadelphia,1h 12m,NYC,      $230   ,   1:00 PM   –   2:12 PM   
60,3,0.0,10-27-2019,Philadelphia,1h 18m,NYC,      $230   ,   3:15 PM   –   4:33 PM   
61,4,0.0,10-27-2019,Philadelphia,14h 40m,NYC,      $260   ,   9:00 PM   –   11:40 AM+1   
62,5,0.0,10-27-2019,Philadelphia,8h 17m,NYC,   $269   ,   3:25 PM   –   11:42 PM   
63,6,0.0,10-27-2019,Philadelphia,5h 34m,NYC,      $313   ,   4:00 PM   –   9:34 PM   
64,7,0.0,10-27-2019,Philadelphia,3h 14m,NYC,      $378   ,   5:00 PM   –   8:14 PM   
65,8,0.0,10-27-2019,Philadelphia,3h 40m,NYC,      $418   ,   3:36 PM   –   7:16 PM   
0,0,,10-27-2019,Philadelphia,18h 27m,NYC,   $159   ,   6:30 PM   –   12:57 PM+1   
1,0,,10-27-2019,Philadelphia,1h 4m,NYC,      $230   ,   6:00 AM   –   7:04 AM   
2,0,,10-27-2019,Philadelphia,1h 12m,NYC,      $230   ,   1:00 PM   –   2:12 PM   
3,0,,10-27-2019,Philadelphia,1h 18m,NYC,      $230   ,   3:15 PM   –   4:33 PM   
4,0,,10-27-2019,Philadelphia,14h 40m,NYC,      $260   ,   9:00 PM   –   11:40 AM+1   
5,0,,10-27-2019,Philadelphia,8h 17m,NYC,   $269   ,   3:25 PM   –   11:42 PM   
6,0,,10-27-2019,Philadelphia,5h 34m,NYC,      $313   ,   4:00 PM   –   9:34 PM   
7,0,,10-27-2019,Philadelphia,3h 14m,NYC,      $378   ,   5:00 PM   –   8:14 PM   
8,0,,10-27-2019,Philadelphia,3h 40m,NYC,      $418   ,   3:36 PM   –   7:16 PM   
